"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change.nlogo"
"delta_p2"
"08/21/2018 15:54:30:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-38","38"
"[run number]","initial_groupspread","independent_distribution","latitude_acceptance","color_axis_max","sharpness_acceptance","alpha","p","eta","polarity","focus_one","b","M","p_as","motivated_cognition","N","rolling","skip_ticks_draw","iterations_per_tick","visualization","intergroup_credibility","[step]","cum_fragmentation","cum_sd","cum_biasmean"
"81","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.94","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5849645051918302","0.32673554779687697","0.03367703810920806"
"82","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.95","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.589013246379892","0.329041246723898","0.03332965678005387"
"83","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.96","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.589943663939267","0.32391509132727125","0.03669856827048786"
"84","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.97","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.578663318121281","0.3204705043189371","0.02719455990439833"
"85","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.98","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5812798925207112","0.32095623062030243","0.027009151350009256"
"86","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.99","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5886877868974627","0.3207304472059728","0.029213993258030858"
"87","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","1","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5790555462073737","0.31551307419147695","0.02540725575076494"
"88","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.7917168988978647","1.2184409295670244","2.814379930793625"
"89","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.05","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.7262186495929717","1.2080934352840818","2.8182462375003783"
"90","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.1","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.6655620453537496","1.2048131958270927","2.8075952229156362"
